J,16,"","",12/16/2025,12/01/2025,"",Edge General Ledger,L002,-12.00,1300-0000,"","",1000,Accounts Receivable - Insurance
J,16,"","",12/16/2025,12/01/2025,"",Edge General Ledger,L002,-145.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,16,"","",12/16/2025,12/01/2025,"",Edge General Ledger,L002,186.00,1110-1528,"","",1000,Credit Card - Visa
J,17,"","",12/17/2025,12/01/2025,"",Edge General Ledger,L002,-28.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,17,"","",12/17/2025,12/01/2025,"",Edge General Ledger,L002,1.94,1300-0000,"","",1000,Accounts Receivable - Insurance
J,17,"","",12/17/2025,12/01/2025,"",Edge General Ledger,L002,-142.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,17,"","",12/17/2025,12/01/2025,"",Edge General Ledger,L002,182.00,1110-4952,"","",1000,Credit Card - Discover
J,17,"","",12/17/2025,12/01/2025,"",Edge General Ledger,L002,-13.94,5000-0010,"","",1000,Insurance Revenue
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,-70.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,-24.00,1300-0000,"","",1000,Accounts Receivable - Insurance
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,-346.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,-29.00,5805-0000,"","",1000,Administrative Fee Revenue
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,-7.00,5000-0013,"","",1000,Convenience Fee Revenue
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,46.00,1110-4952,"","",1000,Credit Card - American Express
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,474.00,1110-4952,"","",1000,Credit Card - Visa
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,-27.00,2210-0000,"","",1000,Deferred Rent Liability
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,17.39,"","","",1000,Discount Expense - Rental Income
J,19,"","",12/19/2025,12/01/2025,"",Edge General Ledger,L002,-34.39,4500-1001,"","",1000,Rental Revenue
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-69.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-7.35,1300-0000,"","",1000,Accounts Receivable - Insurance
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-344.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,548.00,1110-4952,"","",1000,Credit Card - Visa
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-12.00,2210-0000,"","",1000,Deferred Insurance Liability
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-111.00,2210-0000,"","",1000,Deferred Rent Liability
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-0.39,5000-0010,"","",1000,Insurance Revenue
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,26.26,4500-1001,"","",1000,Rental Revenue
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-4.26,5000-0010,"","",1000,Retained Insurance Refunds
J,20,"","",12/20/2025,12/01/2025,"",Edge General Ledger,L002,-26.26,4500-1001,"","",1000,Retained Rent Refunds
J,21,"","",12/21/2025,12/01/2025,"",Edge General Ledger,L002,-34.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,21,"","",12/21/2025,12/01/2025,"",Edge General Ledger,L002,-7.74,1300-0000,"","",1000,Accounts Receivable - Insurance
J,21,"","",12/21/2025,12/01/2025,"",Edge General Ledger,L002,-170.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,21,"","",12/21/2025,12/01/2025,"",Edge General Ledger,L002,216.00,1110-4952,"","",1000,Credit Card - Visa
J,21,"","",12/21/2025,12/01/2025,"",Edge General Ledger,L002,-4.26,5000-0010,"","",1000,Insurance Revenue
J,25,"","",12/25/2025,12/01/2025,"",Edge General Ledger,L002,210.00,1110-4952,"","",1000,Credit Card - Visa
J,25,"","",12/25/2025,12/01/2025,"",Edge General Ledger,L002,-12.00,2210-0000,"","",1000,Deferred Insurance Liability
J,25,"","",12/25/2025,12/01/2025,"",Edge General Ledger,L002,-198.00,2210-0000,"","",1000,Deferred Rent Liability
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,-50.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,-24.00,1300-0000,"","",1000,Accounts Receivable - Insurance
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,-252.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,326.00,1110-4952,"","",1000,Credit Card - Master Card
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,468.00,1110-4952,"","",1000,Credit Card - Visa
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,-24.00,2210-0000,"","",1000,Deferred Insurance Liability
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,-444.00,2210-0000,"","",1000,Deferred Rent Liability
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,1.94,5000-0010,"","",1000,Insurance Revenue
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,29.35,4500-1001,"","",1000,Rental Revenue
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,-1.94,5000-0010,"","",1000,Retained Insurance Refunds
J,26,"","",12/26/2025,12/01/2025,"",Edge General Ledger,L002,-29.35,4500-1001,"","",1000,Retained Rent Refunds
J,27,"","",12/27/2025,12/01/2025,"",Edge General Ledger,L002,647.00,1110-4952,"","",1000,Credit Card - Visa
J,27,"","",12/27/2025,12/01/2025,"",Edge General Ledger,L002,-24.00,2210-0000,"","",1000,Deferred Insurance Liability
J,27,"","",12/27/2025,12/01/2025,"",Edge General Ledger,L002,-623.00,2210-0000,"","",1000,Deferred Rent Liability
J,28,"","",12/28/2025,12/01/2025,"",Edge General Ledger,L002,1.16,5000-0010,"","",1000,Insurance Revenue
J,28,"","",12/28/2025,12/01/2025,"",Edge General Ledger,L002,8.13,4500-1001,"","",1000,Rental Revenue
J,28,"","",12/28/2025,12/01/2025,"",Edge General Ledger,L002,-1.16,5000-0010,"","",1000,Retained Insurance Refunds
J,28,"","",12/28/2025,12/01/2025,"",Edge General Ledger,L002,-8.13,4500-1001,"","",1000,Retained Rent Refunds
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-25.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-12.00,1300-0000,"","",1000,Accounts Receivable - Insurance
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-125.00,1300-0000,"","",1000,Accounts Receivable - Rent
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-29.00,5805-0000,"","",1000,Administrative Fee Revenue
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,32.77,1110-4952,"","",1000,Credit Card - Master Card
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,729.00,1110-4952,"","",1000,Credit Card - Visa
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-12.00,2210-0000,"","",1000,Deferred Insurance Liability
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-555.00,2210-0000,"","",1000,Deferred Rent Liability
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-1.16,5000-0010,"","",1000,Insurance Revenue
J,29,"","",12/29/2025,12/01/2025,"",Edge General Ledger,L002,-2.61,4500-1001,"","",1000,Rental Revenue
J,30,"","",12/30/2025,12/01/2025,"",Edge General Ledger,L002,-20.90,1300-0000,"","",1000,Accounts Receivable - Insurance
J,30,"","",12/30/2025,12/01/2025,"",Edge General Ledger,L002,460.00,1110-4952,"","",1000,Credit Card - Master Card
J,30,"","",12/30/2025,12/01/2025,"",Edge General Ledger,L002,-29.00,2210-0000,"","",1000,Deferred Insurance Liability
J,30,"","",12/30/2025,12/01/2025,"",Edge General Ledger,L002,-431.00,2210-0000,"","",1000,Deferred Rent Liability
J,30,"","",12/30/2025,12/01/2025,"",Edge General Ledger,L002,20.90,"","","",1000,Discount Expense
J,31,"","",12/31/2025,12/01/2025,"",Edge General Ledger,L002,-137.00,1300-0000,"","",1000,Accounts Receivable - Fee
J,31,"","",12/31/2025,12/01/2025,"",Edge General Ledger,L002,-48.00,1300-0000,"","",1000,Accounts Receivable - Insurance
